Time (ms),Name,Value
9561,"getRPMbottom","-15.107131958007812"
9568,"getRPMbottom","-17.093673706054688"
9597,"getRPMbottom","-18.980926513671875"
9626,"getRPMbottom","-20.417007446289062"
9626,"getRPMbottom","-18.886550903320312"
9649,"getRPMbottom","-17.900222778320312"
9666,"getRPMbottom","-16.535308837890625"
9685,"getRPMbottom","-15.69873046875"
9717,"getRPMbottom","-19.31036376953125"
9769,"getRPMbottom","-24.016448974609375"
9783,"getRPMbottom","-17.68463134765625"
9821,"getRPMbottom","-12.791046142578125"
9821,"getRPMbottom","-8.086685180664062"
9930,"getRPMbottom","0.0"
10146,"getRPMbottom","-3.0696563720703125"
10238,"getRPMbottom","-3.3375091552734375"
10251,"getRPMbottom","-9.322723388671875"
10267,"getRPMbottom","-16.835235595703125"
10299,"getRPMbottom","-18.91387939453125"
10307,"getRPMbottom","-28.564498901367188"
10329,"getRPMbottom","-33.9395751953125"
10375,"getRPMbottom","-36.662261962890625"
10376,"getRPMbottom","-37.547576904296875"
10415,"getRPMbottom","-39.91658020019531"
10438,"getRPMbottom","-39.488037109375"
10465,"getRPMbottom","-34.99517822265625"
10475,"getRPMbottom","-30.27447509765625"
10486,"getRPMbottom","-26.834381103515625"
10510,"getRPMbottom","-24.971603393554688"
10548,"getRPMbottom","-18.689849853515625"
10572,"getRPMbottom","-13.711776733398438"
10588,"getRPMbottom","-10.598907470703125"
10623,"getRPMbottom","-8.009490966796875"
10642,"getRPMbottom","-10.309738159179688"
10646,"getRPMbottom","-12.403091430664062"
10688,"getRPMbottom","-14.595230102539062"
10688,"getRPMbottom","-18.123199462890625"
10720,"getRPMbottom","-20.178466796875"
10722,"getRPMbottom","-22.939865112304688"
10756,"getRPMbottom","-25.278854370117188"
10771,"getRPMbottom","-26.8692626953125"
10793,"getRPMbottom","-29.364044189453125"
10805,"getRPMbottom","-32.436859130859375"
10846,"getRPMbottom","-32.12928771972656"
10846,"getRPMbottom","-27.190338134765625"
10869,"getRPMbottom","-23.21221923828125"
10883,"getRPMbottom","-21.545684814453125"
10908,"getRPMbottom","-23.778518676757812"
10931,"getRPMbottom","-25.064529418945312"
10950,"getRPMbottom","-27.26373291015625"
10964,"getRPMbottom","-26.157638549804688"
10982,"getRPMbottom","-23.379302978515625"
11007,"getRPMbottom","-18.689193725585938"
11037,"getRPMbottom","-12.466995239257812"
11052,"getRPMbottom","-10.62890625"
11116,"getRPMbottom","2.494171142578125"
11148,"getRPMbottom","6.694366455078125"
11149,"getRPMbottom","8.643325805664062"
11189,"getRPMbottom","8.742630004882812"
11209,"getRPMbottom","8.489776611328125"
11243,"getRPMbottom","7.8096771240234375"
11273,"getRPMbottom","6.8173675537109375"
11367,"getRPMbottom","0.0"
11510,"getRPMbottom","-4.6723785400390625"
11542,"getRPMbottom","-7.95770263671875"
11566,"getRPMbottom","-11.537017822265625"
11580,"getRPMbottom","-13.181869506835938"
11602,"getRPMbottom","-18.3553466796875"
11623,"getRPMbottom","-21.245956420898438"
11650,"getRPMbottom","-24.079544067382812"
11670,"getRPMbottom","-24.0712890625"
11692,"getRPMbottom","-24.002822875976562"
11711,"getRPMbottom","-25.35577392578125"
11725,"getRPMbottom","-27.569000244140625"
11745,"getRPMbottom","-31.049270629882812"
11764,"getRPMbottom","-33.40556335449219"
